Eye Ratio,Nose And Shoulder Angle,Y Angle,X Angle,Eye Angle,Label
1.221805794,45.112625267,88.532327358,-179.71698347,178.36946083,0
1.5640251582,45.359750633,86.742680007,-179.18884678,179.76651945,0
1.9856284879,45.555509296,84.732965007,-178.89040983,177.35366492,0
2.6836219397,46.486465757,81.774454248,-178.91961307,168.44324621,0
5.3927992291,46.172063248,78.473622877,-179.26841554,159.74306399,0
11.065526821,46.209361831,76.710139981,-179.67898253,133.59131136,0
14.306685353,46.112331624,76.224103091,179.91353357,122.16751081,0
11.311707046,46.636337503,76.402962441,179.766481,119.26405219,0
11.255164331,46.736136677,76.724192447,179.58382512,138.62637447,0
7.3325291671,47.032504448,77.40047557,179.84369712,153.03223222,0
6.8430264769,47.50475868,77.452610625,179.85012448,146.26105944,0
5.709276111,48.696860574,77.372077545,-179.9445769,135.21040152,0
4.0008765083,50.225927618,77.635104961,-179.75773487,118.60659669,0
3.2822067293,51.427177512,77.827532285,-179.74486252,110.52775867,0
2.5535801882,53.759843179,78.39503921,-179.73633105,100.37514744,0
2.0394873615,54.51306275,80.575013721,-179.81850049,104.39389656,0
1.5887647056,54.994986976,83.189073705,-179.79660018,112.00809873,0
1.4085290542,56.228735419,84.470335221,-179.87273852,109.67531452,0
1.2480309868,56.122346979,86.099311158,179.72871268,111.68520185,0
1.1233592108,58.224256608,87.732175181,179.68225361,106.10895869,0
1.1260493595,58.602015956,88.018473862,179.82688694,106.45053,0
1.0804846849,59.179573872,88.770551418,-179.82370649,104.8717468,0
1.0801033285,61.928423486,88.844240295,-179.8244012,93.00534096,0
1.048702172,63.667414564,89.485008329,-179.82621742,86.985525358,0
0.95873733531,64.127691973,91.184021028,179.68422276,84.014299039,0
0.99361140166,63.775677724,90.439052445,179.80063454,86.006206047,0
0.99960735927,64.817511904,90.001261658,179.90172167,82.225712805,0
0.85707270469,64.280169416,92.978194635,-179.79022798,80.725299577,0
0.92101920983,68.372662761,93.001026159,-179.59293476,72.053176882,0
0.89843721628,68.706215869,94.35816468,-179.57606703,68.253867509,0
0.9036661503,70.308002831,95.034193815,-179.43982291,64.487793007,0
0.90616896839,74.379595081,95.162234363,-179.13333139,61.02881918,0
0.93664601208,76.232310249,93.534832061,-178.79019018,59.601425406,0
0.9490450659,77.528207353,93.531556536,-178.68252492,57.982920207,0
0.95848227181,80.396953174,94.385607376,-178.7757853,56.581358909,0
0.95894113896,79.459067831,94.228016609,-178.77269144,58.19281779,0
0.95235448506,78.643790921,94.217071044,-178.7787282,58.526793933,0
0.95814961964,78.115089274,93.854595231,-178.71203005,58.855792172,0
0.96912961727,79.305999187,94.671506549,-178.80339852,54.704221966,0
0.95102873168,78.994196764,95.1651032,-178.71362947,55.22209709,0
0.95195196089,81.427802678,95.364250422,-178.61789577,53.786320665,0
0.95582469652,81.644209861,95.104005436,-178.60868556,53.732498236,0
0.97081260778,79.385353131,94.785760941,-178.52820883,53.678229569,0
0.97027097055,78.413009299,94.731555379,-178.71490507,54.044934171,0
0.96477026703,77.716496791,96.344353468,-178.8263344,50.042921429,0
0.97697863791,75.050744315,94.882547578,-178.73705965,53.096665131,0
0.94874923682,67.912734847,94.647685538,-178.76538175,66.588614377,0
0.96745864803,72.015378117,94.77172691,-178.6572052,56.987184902,0
0.96898565203,71.404234176,94.134120268,-178.81018541,52.369986526,0
1.0054321358,70.698051005,92.814680722,-178.87497478,50.209707076,0
1.0504537921,68.665035469,91.127196078,-179.30261236,35.879749232,0
1.0127814447,70.547923551,90.10964084,-179.30908791,37.764365928,0
1.0374584166,65.045876003,90.032760633,-179.26181635,53.038730455,0
1.0460181983,65.087115529,89.288448168,-179.38340439,50.889822488,0
1.0604882814,66.792534292,88.323908436,-179.49609342,49.672887353,0
1.2514394594,64.626624712,87.949299959,-179.60042297,65.851071018,0
1.3850997548,63.770591624,87.546829258,-179.67939682,69.107589032,0
2.4011352976,55.68836854,88.140341933,179.79892338,121.1922349,0
1.8366241832,56.254032246,87.312673647,179.7497514,94.076130078,0
0.66225557772,5.32711727,90.278412314,4.8183167518,125.57458319,0
0.65385988697,5.6876655744,90.575673963,169.16841733,52.662733991,0
0.64259405241,17.307594929,92.483579398,168.70069471,38.423705956,0
